Word,Type,Letters,Syllables,K&F,ANEW,,Personal Use,,Familiarity,,Offensiveness,,Tabooness,,Valence,,Arousal,,Imageability,
,,,,Freq.,Valence,Arousal,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD
ecstasy,pos hi ar,7,3,6,"7,80","6,90","3,52","2,13","4,57","2,04","1,27","0,82","2,91","2,26","5,66","2,25","4,30","2,36","3,70","2,64"
butt,taboo,4,1,,,,"6,07","2,41","6,64","2,04","1,36","0,61","2,84","1,80","4,64","0,91","3,24","2,09","7,38","2,02"
obesity,neg lo ar,7,4,5,"2,81","4,52","4,14","2,14","6,14","2,31","2,07","1,85","2,80","2,20","2,68","1,34","3,18","2,13","6,82","2,23"
snob,neg hi ar,4,1,1,"3,60","5,61","3,57","1,98","5,09","2,24","2,80","2,33","2,80","2,18","2,80","1,11","2,95","2,02","3,48","2,65"
climax,taboo,6,2,,,,"3,91","2,50","4,98","2,65","1,33","0,83","2,78","2,08","5,87","1,22","4,73","2,71","2,73","2,23"
insane,neg hi ar,6,2,13,"2,23","5,95","5,30","2,53","5,55","2,46","1,98","1,86","2,73","2,43","3,11","1,17","2,93","2,23","3,14","2,31"
pee,taboo,3,1,,,,"6,62","2,15","6,44","2,43","1,27","0,84","2,69","1,86","4,78","0,97","2,49","2,12","5,87","2,33"
evil,neg hi ar,4,2,72,"2,46","6,27","5,16","2,34","5,70","2,37","1,98","1,86","2,60","2,12","2,49","1,71","3,16","2,16","3,07","2,15"
torture,neg hi ar,7,2,3,"1,58","7,11","3,71","2,39","4,71","2,51","2,24","2,28","2,58","2,41","2,27","1,14","4,29","2,63","5,00","2,65"
assault,neg hi ar,7,2,15,"1,78","7,70","3,84","2,42","5,16","2,32","2,16","2,26","2,52","2,55","2,41","1,11","3,68","2,38","4,35","2,57"
dork,taboo,4,1,,,,"5,76","2,51","6,51","2,14","1,60","1,16","2,47","1,66","4,00","1,02","2,73","2,02","3,20","2,42"
depressed,neg lo ar,9,2,11,"1,58","5,06","5,87","2,36","6,80","2,31","1,40","1,01","2,44","1,84","2,36","1,07","3,11","2,36","3,82","2,47"
excrement,taboo,9,3,,,,"2,05","1,84","2,80","1,89","1,82","1,33","2,43","1,87","4,11","1,19","2,61","1,86","4,77","3,06"
divorce,neg hi ar,7,2,29,"2,08","7,16","4,41","2,53","6,32","2,31","1,48","1,13","2,41","2,13","3,02","1,32","2,82","2,03","3,27","2,61"
betray,neg hi ar,6,2,4,"1,60","7,28","4,16","2,24","4,87","2,38","2,13","2,06","2,40","2,16","2,51","1,10","3,62","2,35","2,00","1,58"
assassin,neg hi ar,8,3,6,"2,50","6,53","2,96","2,14","3,87","2,39","1,80","1,83","2,36","2,25","3,02","1,44","3,22","2,47","4,33","2,55"
lie,neg hi ar,3,1,59,"2,28","6,25","6,23","2,24","6,41","2,16","2,20","2,12","2,34","2,29","2,73","1,44","2,89","2,18","1,91","1,61"
slap,neg hi ar,4,1,2,"2,56","6,58","4,55","2,46","5,60","2,49","1,79","1,49","2,29","1,90","3,43","1,31","3,12","2,28","6,21","2,54"
urine,neg lo ar,5,2,1,"3,65","4,23","3,16","2,35","4,36","2,04","1,36","0,75","2,23","1,54","3,91","1,12","2,48","1,65","7,20","2,27"
corrupt,neg lo ar,7,2,8,"2,52","4,52","4,38","2,60","5,51","2,39","1,73","1,45","2,16","1,83","2,82","1,23","2,84","1,93","2,67","2,37"
massacre,neg lo ar,8,3,1,"2,32","5,43","2,95","1,90","4,07","2,24","1,98","2,11","2,16","1,86","2,05","1,18","4,11","2,60","5,02","2,65"
